cluster_id;article_topic;intent;keyword;frequency
"3";"Системы и инструменты автоматизации бизнеса: CRM, ERP, 1C, RPA и ИИ";"выбор решений и технологий";"автоматизация бизнес процессов приложения";"70"
"4";"Внедрение автоматизации бизнеса под ключ: как выбрать подрядчика и не потерять деньги";"коммерческий выбор подрядчика";"автоматизация бизнеса ооо процесс";"70"
"4";"Внедрение автоматизации бизнеса под ключ: как выбрать подрядчика и не потерять деньги";"коммерческий выбор подрядчика";"автоматизация бизнеса телефон";"69"
"4";"Внедрение автоматизации бизнеса под ключ: как выбрать подрядчика и не потерять деньги";"коммерческий выбор подрядчика";"автоматизация бизнеса под ключ";"69"
"3";"Системы и инструменты автоматизации бизнеса: CRM, ERP, 1C, RPA и ИИ";"выбор решений и технологий";"автоматизация бизнес процессов битрикс";"69"
"4";"Внедрение автоматизации бизнеса под ключ: как выбрать подрядчика и не потерять деньги";"коммерческий выбор подрядчика";"бизнес автоматизация отзывы";"68"
"4";"Внедрение автоматизации бизнеса под ключ: как выбрать подрядчика и не потерять деньги";"коммерческий выбор подрядчика";"автоматизация бизнес процессов отькало";"68"
"3";"Системы и инструменты автоматизации бизнеса: CRM, ERP, 1C, RPA и ИИ";"выбор решений и технологий";"опыт автоматизации бизнес процессов";"68"
"1";"Автоматизация бизнеса: что это, зачем нужна и с чего начать";"информационный верх воронки";"автоматизация любого бизнеса";"68"
"3";"Системы и инструменты автоматизации бизнеса: CRM, ERP, 1C, RPA и ИИ";"выбор решений и технологий";"автоматизация бизнеса нейросети";"67"
"5";"Автоматизация малого и среднего бизнеса: продажи, учет, производство, торговля и услуги";"прикладные сценарии по типам бизнеса";"магазин автоматизация бизнеса";"67"
